Crypto,Date,Open,High,Low,Close
XRP,1/22/20,0.24,0.24,0.23,0.24
XRP,1/21/20,0.23,0.24,0.23,0.24
XRP,1/20/20,0.23,0.24,0.22,0.23
XRP,1/19/20,0.25,0.25,0.23,0.23
XRP,1/18/20,0.24,0.25,0.23,0.25
XRP,1/17/20,0.23,0.24,0.23,0.24
XRP,1/16/20,0.24,0.24,0.22,0.23
XRP,1/15/20,0.23,0.24,0.23,0.24
XRP,1/14/20,0.21,0.25,0.21,0.23
XRP,1/13/20,0.21,0.22,0.21,0.21
XRP,1/12/20,0.21,0.22,0.21,0.21
XRP,1/11/20,0.21,0.22,0.21,0.21
XRP,1/10/20,0.2,0.21,0.2,0.21
XRP,1/9/20,0.21,0.21,0.2,0.2
XRP,1/8/20,0.21,0.22,0.2,0.21
XRP,1/7/20,0.22,0.23,0.21,0.21
XRP,1/6/20,0.2,0.22,0.19,0.22
XRP,1/5/20,0.19,0.2,0.19,0.2
XRP,1/4/20,0.19,0.19,0.19,0.19
XRP,1/3/20,0.19,0.19,0.18,0.19
XRP,1/2/20,0.19,0.19,0.19,0.19
XRP,1/1/20,0.19,0.19,0.19,0.19
XRP,12/31/18,0.36,0.37,0.34,0.35
XRP,12/30/18,0.38,0.38,0.35,0.36
XRP,12/29/18,0.37,0.38,0.36,0.38
XRP,12/28/18,0.34,0.38,0.33,0.37
XRP,12/27/18,0.37,0.38,0.34,0.34
XRP,12/26/18,0.38,0.39,0.36,0.37
XRP,12/25/18,0.41,0.42,0.36,0.38
XRP,12/24/18,0.37,0.45,0.36,0.41
XRP,12/23/18,0.36,0.38,0.35,0.37
XRP,12/22/18,0.36,0.36,0.34,0.36
XRP,12/21/18,0.37,0.38,0.35,0.36
XRP,12/20/18,0.35,0.39,0.34,0.37
